YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual 24-hr Avg.
1995,24632,25989,27534,28248,28715,30906,30590,31699,30034,29003,27709,26273,28444
1996,24610,26405,29017,29674,29322,31136,30845,31648,28276,28699,28410,26768,28734
1997,26773,28729,30514,30759,33015,35224,32612,34853,33071,31277,30990,30001,31485
1998,26783,27483,,33691,,36356,34630,31923,31078,33205,32254,31025
1999,29512,31668,34115,33831,33616,,34837,,34946,34711,34218,32047
2000,30303,31564,33113,32608,31263,40055,37864,39030,36837,35692,33671,32147,34512
2001,30231,32567,35989,36783,37133,38636,38609,39538,37181,34942,34535,31571,35643
2002,31502,34261,36165,37900,38772,39821,38605,41046,38149,38059,35801,34214,37025
2003,33254,34486,35891,37319,38485,40182,39132,39393,37736,37276,34543,33902,36800
2004,30297,33597,37461,38044,37585,39269,39511,39728,38291,37336,35834,34981,36828
2005,32606,36242,38544,38564,38896,41893,41521,42546,39021,38419,37667,35778,38475
2006,35322,37935,41660,42390,43362,45581,44062,45422,43598,43713,42234,40310,42132
2007,39356,41575,44803,44778,44462,43271,,43172,42833,43363,40897,38563
2008,35486,39411,41664,42453,42315,41403,41928,41780,40549,40744,38811,36318,40239
2009,35000,38094,40124,41513,41900,43669,44061,43569,42804,41972,40592,38303,40967
2010,36671,39936,42482,42804,42843,44790,45045,45723,44275,43464,40991,38628,42304
2011,38383,40013,42004,42857,43179,44753,44544,44755,42886,42854
